α,β,I,O,z,R,minAdv,avgAdv,ratio
63,16,47.8772011645158,62.6227988354842,-87.8635602075751,137.794694623572,0.780439275084043,3.06604275374709,0.254542854671628
53,1,49.8595727511279,50.6404272488721,-79.9004788491956,125.778386959187,0.653294977574015,2.5704975511167,0.254151176798517
63,14,48.8944022411403,61.6055977588597,-84.604116311691,131.763886495977,0.72676964578319,2.87084565995581,0.253155248267291
61,8,50.7947049393249,57.7052950606751,-79.4675563759182,122.981442356844,0.645660196033957,2.55121819391057,0.253079175107432
58,3,51.6120280785083,53.8879719214917,-77.0039714766841,119.343950228655,0.606636734165429,2.39854625794017,0.252918505180883
59,4,51.6737751086025,54.8262248913975,-77.1262043155483,119.314340403775,0.60863939530283,2.40793336354823,0.252764218693313
60,5,51.738043005398,55.761956994602,-77.2437440106617,119.275890760408,0.610915209365461,2.4200823266997,0.252435713705068
62,10,50.3538473767888,59.1461526232112,-80.6814107262744,124.903135441771,0.664155044221964,2.63170033464788,0.252367275817072
61,7,51.2995806186857,57.2004193813143,-78.3846831179884,121.05094487022,0.6267221322755,2.49135360489467,0.251558883911221
54,1,50.4003880540929,51.0996119459071,-78.7544931077769,123.460005659997,0.62783105793905,2.50401727567687,0.250729523329402
57,2,51.5533722665125,52.9466277334875,-76.8755099046459,119.362163358744,0.599205599254122,2.39272148911122,0.25042847735559
61,6,51.8042491532058,56.6957508467942,-77.3580713799751,119.231053487629,0.609591907429691,2.43448832822494,0.250398369284507
62,9,50.8600631745923,58.6399368254077,-79.5527027552845,122.881251717877,0.641464511787469,2.5681259493681,0.249779225954749
59,3,52.1765223655216,54.3234776344784,-76.1190159826616,117.535221520585,0.587019988769623,2.35513889680458,0.249250687322979
63,13,49.4026431579019,61.0973568420981,-83.217866745016,129.231854721541,0.695036082355467,2.79080538197359,0.249044984234606
64,16,48.4442088055887,63.0557911944113,-86.1256334702085,134.298403975549,0.741702400336031,2.97841827577882,0.249025600724964
60,4,52.241581686787,55.258418313213,-76.2501446211344,117.522026464651,0.587980828845771,2.36644083148141,0.248466313217598
61,14,47.7612369213289,60.7387630786711,-87.9765982963504,138.543418166631,0.754672363944953,3.03923582662884,0.248309906501085
